id,english,chinese
9830,"dying",""
9831,"dyke","堤"
9832,"dynamic","(人)精力充沛的"
9833,"dynamism","精力"
9834,"dynamite","甘油炸药"
9835,"dynamo","发电机"
9836,"dynastic","朝代的"
9837,"dynasty","王朝"
9838,"d'you","（D'you 为口语中 do you 或 did you 的简写形式）"
9839,"dysentery","痢疾"
9840,"dysfunction","(关系、行为等的)不正常"
9841,"dysfunctional","(关系、行为等)出现障碍的"
9842,"dyslexia","诵读困难"
9843,"dyslexic","诵读困难的"
9844,"dyspepsia","同 indigestion"
9845,"dystrophy",""
9846,"déjà vu",""
9847,"dénouement",""
9848,"détente",""
9849,"e-","(用于构成与网络有关的词汇)表示“电子的”"
9850,"e","英语字母表的第5个字母"
9851,"each","每"
9852,"each way","一注三赢地（赛马或赛狗中一种赌博的方式"
9853,"eager","热切的"
9854,"eagle","雕"
9855,"eagle-eyed","目光锐利的"
9856,"ear","耳"
9857,"earache","耳痛"
9858,"ear canal","耳道"
9859,"eardrum","耳膜"
9860,"ear drum",""
9861,"earful","（长时间的）训斥"
9862,"earl","（英国）伯爵"
9863,"earldom","伯爵爵位"
9864,"earlier","（early的比较级）"
9865,"earliest","（early的最高级）"
9866,"ear lobe",""
9867,"earlobe","耳垂"
9868,"early","（指在通常的时间之前）早"
9869,"early bird","早起的鸟儿有虫吃"
9870,"early-warning","预先报警的"
9871,"earmark","指定（款项等）用作特定用途"
9872,"ear muffs",""
9873,"earmuffs","（御寒或隔音用的）耳罩"
9874,"earn","赚取"
9875,"earner","挣钱的人"
9876,"earnest","（更）严肃地"
9877,"earnestly","（说话）认真地"
9878,"earnings","收入"
9879,"earnings-related","（支付款项、福利等）与收入相关的"
9880,"earphone","耳机"
9881,"earpiece","（电话的）听筒"
9882,"ear plug",""
9883,"earplug","（隔音、防水、御寒等用的）耳塞"
9884,"earring","耳环"
9885,"earshot","在听力范围之内/在听力范围之外"
9886,"ear-splitting","震耳欲聋的"
9887,"earth","地球（指宇宙组成部分时用Earth"
9888,"earthbound","不能离开地面的"
9889,"earthen","陶土的"
9890,"earthenware","陶制的"
9891,"earthling","地球人（用于科幻作品）"
9892,"earthly","尘世的"
9893,"earth-moving","大量挖土的"
9894,"earthmoving","大量挖土的"
9895,"earthquake","地震"
9896,"earth-shattering","惊天动地的"
9897,"earthwork","（尤指古代的）土木防御工事"
9898,"earthworm",". 蚯蚓"
9899,"earthy","爽快的"
9900,"earwig","蠼螋"
9901,"ease","轻松地"
9902,"easel",""
9903,"ease off","（在程度、速度、强度等上）缓和"
9904,"ease up","（在程度、速度、强度等上）缓和"
9905,"easily","很可能"
9906,"east","东"
9907,"eastbound","向东去的"
9908,"easter","（基督教的）复活节"
9909,"easter egg","复活节彩蛋（复活节礼物"
9910,"easterly","东的"
9911,"eastern","东边的"
9912,"easterner","东方人"
9913,"easternmost","最东的"
9914,"easter sunday","复活节星期日"
9915,"east german","前东德的"
9916,"eastward","向东地"
9917,"easy","容易的"
9918,"easy chair","安乐椅"
9919,"easy-going","心平气和的"
9920,"easy listening","轻松的音乐"
9921,"eat","吃"
9922,"eat away","侵蚀"
9923,"eaten",""
9924,"eaten up","深陷于（嫉妒、好奇、欲望等）的"
9925,"eater","（以某种方式）吃东西的人"
9926,"eatery","餐馆"
9927,"eating apple","生吃的苹果"
9928,"eat into","消耗"
9929,"eat up","吃光"
9930,"eau de cologne","古龙水"
9931,"eaves","屋檐"
9932,"eavesdrop","偷听"
9933,"ebb","（潮水或海水）退"
9934,"ebony","乌木"
9935,"e-book",". 电子书"
9936,"ebullient","兴高采烈的"
9937,"e-business","（尤指没有实体店面的）网上运营公司"
9938,"eccentric","古怪的"
9939,"eccentricity","古怪"
9940,"ecclesiastic","（基督教的）牧师"
9941,"ecclesiastical","（基督教）教会的"
9942,"ecg",""
9943,"echelon","等级"
9944,"echo","回声"
9945,"echo-location",""
9946,"echolocation","回声定位"
9947,"eclair",""
9948,"eclectic","兼收并蓄的"
9949,"eclecticism","折中主义"
9950,"eclipse","(日)食"
9951,"eco-","（用于名词或形容词前"
9952,"eco-friendly","环保的"
9953,"ecological","生态的"
9954,"ecologist","生态学家"
9955,"ecology","生态学"
9956,"e-commerce","同e-business"
9957,"economic","经济的"
9958,"economical","经济的"
9959,"economics","经济学"
9960,"economies of scale","规模经济"
9961,"economist","经济学家"
9962,"economize","节约"
9963,"economy","（国家或地区的）经济"
9964,"economy class","（飞机）经济舱的"
9965,"economy-class syndrome","经济舱综合征（尤指长距离飞行造成腿部血栓进入肺部的严重病症）"
9966,"ecosystem","生态系统"
9967,"eco-tourism","生态旅游"
9968,"eco-warrior","环保斗士"
9969,"ecru","淡褐色"
9970,"ecstasy","狂喜"
9971,"ecstatic","狂喜的"
9972,"ectopic","（妊娠）异位的"
9973,"ecu",""
9974,"ecumenical","促进基督教各派大联合的"
9975,"ecumenism","（主张基督教大联合的）普世教会主义（或运动）"
9976,"eczema","湿疹"
9977,"-ed","（用于动词后构成过去式或过去分词）"
9978,"ed.",""
9979,"eddy","（水或气流的）漩涡"
9980,"edge","边"
9981,"-edged","（与sharp"
9982,"edged","有…边的"
9983,"edge out","险胜"
9984,"edgeways","插不上嘴"
9985,"edging","边缘"
9986,"edgy","紧张的"
9987,"edible","可食用的"
9988,"edict","法令"
9989,"edification","教诲"
9990,"edifice","大厦"
9991,"edifying","教导的"
9992,"edit","编辑"
9993,"edition","版"
9994,"editor","（报纸或杂志的）主编"
9995,"editorial","编辑的"
9996,"editorialize","（主要指记者和报纸）发表社论"
9997,"editorship","编辑职位"
9998,"edit out","（常因可能具有冒犯性而）删除"
9999,"educate","教育"
10000,"-educated","（与名词和形容词连用构成形容词）表示“在…受教育的”"
10001,"educated","受过教育的"
10002,"educated guess","有根据的猜测"
10003,"education","（通常指学校）教育"
10004,"educational","教育的"
10005,"educationalist","教育学家"
10006,"educational psychology","教育心理学"
10007,"educationist","同educationalist"
10008,"educative","有教育意义的"
10009,"educator","教育工作者"
10010,"edutainment","寓教于乐型产品"
10011,"edwardian","爱德华七世时代的"
10012,"eel","鳗鲡"
10013,"eerie","怪异的"
10014,"efface","消除"
10015,"effect","影响"
10016,"effective","有效的"
10017,"effectively","其实"
10018,"effectual","（行动、计划等）有效的"
10019,"effeminate","（男子）娘娘腔的"
10020,"effervescent","(液体)起泡的"
10021,"effete","软弱的"
10022,"efficacious","有效的"
10023,"efficacy","功效"
10024,"efficiency","效率"
10025,"efficient","效率高的"
10026,"effigy","（丑化憎恶之人的）仿真像"
10027,"effing","该死的"
10028,"effluent","(工厂或污水处理厂排出的)废水"
10029,"effort","努力"
10030,"effortless","不费力的"
10031,"effrontery","厚颜无耻"
10032,"effusion","（感情的）过分流露"
10033,"effusive","热情洋溢的"
10034,"e-fit","（犯罪嫌疑人的）电子画像"
10035,"efl","非母语的英语教学"
10036,"e.g.","例如（用于名词前或引出另一个句子）"
10037,"egalitarian","主张人人平等的"
10038,"egalitarianism","平等主义"
10039,"egg","蛋"
10040,"eggcup",""
10041,"egg cup","蛋杯（盛放煮蛋的小杯）"
10042,"egghead","书呆子"
10043,"egg nog",""
10044,"eggnog","蛋奶酒"
10045,"egg on","怂恿"
10046,"eggplant","茄子"
10047,"eggshell","蛋壳"
10048,"egg timer","煮蛋计时器"
10049,"egg-timer",""
10050,"egg whisk","打蛋器"
10051,"ego","自我"
10052,"egocentric","以自我为中心的"
10053,"egoism","同egotism"
10054,"egoist","同egotist"
10055,"egoistic","同egotistic"
10056,"egomaniac","利己主义者"
10057,"egotism","自我中心"
10058,"egotist","自我中心者"
10059,"egotistic","利己主义的"
10060,"ego trip","自我满足的行为"
10061,"egregious","极坏的"
10062,"egyptian","埃及的"
10063,"eh","（交谈中表示同意、疑问、未听清等）嗯"
10064,"eiderdown","羽绒被"
10065,"eight","（数字）8"
10066,"eighteen","（数字）18"
10067,"eighteenth","第十八"
10068,"eighth","第八的"
10069,"eighth note","八分音符"
10070,"eightieth","第八十"
10071,"eighty","（数字）80"
10072,"eisteddfod","威尔士诗歌音乐节"
10073,"either","（表示在两者或多者中择其一）或者"
10074,"ejaculate","射精"
10075,"eject","驱逐"
10076,"ejector seat","（在紧急情况下将飞行员弹出舱外的）弹射座椅"
10077,"eke","勉强维持生计"
10078,"eke out","使…的供应持久"
10079,"elaborate","复杂的"
10080,"elan",""
10081,"elapse","（时间）过去"
10082,"elastic","松紧带"
10083,"elasticated","有松紧性的"
10084,"elastic band","橡皮筋"
10085,"elasticity","弹性"
10086,"elastoplast","易理妥"
10087,"elated","兴高采烈的"
10088,"elation","得意洋洋"
10089,"elbow","肘"
10090,"elbow grease","（干粗活用的）力气"
10091,"elbow room","行动自由"
10092,"elder","（两者中）年龄较大的"
10093,"elderberry","接骨木浆果"
10094,"elderly","年长的"
10095,"elder statesman","政界元老"
10096,"eldest","最年长的"
10097,"e-learning","电脑化学习"
10098,"elect","选举"
10099,"election","选举"
10100,"electioneering","竞选活动"
10101,"elective","由选举产生的"
10102,"elector","有选举权的人"
10103,"electoral","与选举有关的"
10104,"electoral college","总统选举团（由各州选民产生"
10105,"electoral register","选民名册"
10106,"electoral roll","同electoral register"
10107,"electorate","（一国或一地区的）全体选民"
10108,"electric","用电的"
10109,"electrical","用电的"
10110,"electrical engineer","电气工程师"
10111,"electrical engineering","电气工程"
10112,"electric blanket","电热毯"
10113,"electric-blue","钢青色"
10114,"electric chair","（尤指美国处决犯人的）电椅"
10115,"electrician","电工"
10116,"electricity","电"
10117,"electrics","电路"
10118,"electric shock","触电"
10119,"electrification","通电"
10120,"electrified","通电的"
10121,"electrify","使极为兴奋"
10122,"electro-","表示“电的”"
10123,"electrocardiogram","心电图"
10124,"electrochemical",""
10125,"electrocute","使触电身亡"
10126,"electrode","电极"
10127,"electrolysis","电解"
10128,"electrolyte","电解质"
10129,"electromagnet","电磁铁"
10130,"electromagnetic","电磁能的"
10131,"electron","电子"
10132,"electronic","电子的"
10133,"electronic book","同e-book"
10134,"electronic mail","同e-mail"
10135,"electronic publishing","电子出版"
10136,"electronics","（尤指用于无线电、电视和计算机的）电子学"
10137,"electronic tagging","电子追踪（指通过在罪犯或嫌疑犯身上安装电子装置以确定其行踪的方法）"
10138,"elegant","（人或物）典雅的"
10139,"elegiac","悲哀的"
10140,"elegy","悲歌"
10141,"element","成分"
10142,"elemental","（感情、行为等）单纯的"
10143,"elementary","简单的"
10144,"elementary school","小学"
10145,"elephant","象"
10146,"elephantine","庞大的"
10147,"elevate","提拔"
10148,"elevated","（人、工作、角色等）重要的"
10149,"elevation","(建筑物)立面"
10150,"elevator","电梯"
10151,"eleven","（数字）11"
10152,"eleven-plus","（英国旧时为11岁左右儿童举行的）升中学甄别考试"
10153,"eleven plus",""
10154,"elevenses","（上午11点左右的）午前茶点"
10155,"eleventh","第十一"
10156,"eleventh hour","最后时刻"
10157,"elf","（神话故事中的）小精灵"
10158,"elfin","小巧的"
10159,"elicit","引起"
10160,"elide","忽略"
10161,"eligible","有资格的"
10162,"eliminate","消除"
10163,"eliminator","（体育运动中的）淘汰赛"
10164,"elite","精英"
10165,"elitism","精英主义"
10166,"elitist","精英主义的"
10167,"elixir","灵丹妙药"
10168,"elizabethan","伊丽莎白女王一世时代的"
10169,"elk","麋鹿"
10170,"ellipse","椭圆"
10171,"ellipsis","（语言学中的）省略"
10172,"elliptical","椭圆形的"
10173,"elm","榆树"
10174,"elocution","演说术"
10175,"elongate","（使）拉长"
10176,"elongated","细长的"
10177,"elope","私奔"
10178,"eloquent","（言辞、文字等）表达生动的"
10179,"else","（用于anywhere"
10180,"elsewhere","在别处"
10181,"elt","（对英语为非第一语言者的）英语教学"
10182,"elucidate","阐明"
10183,"elude","错过"
10184,"elusive","难以得到的"
10185,"elves",""
10186,"em-","（用于以b"
10187,"emaciated","（因疾病或饥饿而）消瘦的"
10188,"e-mail","电子邮件"
10189,"email","电子邮件"
10190,"emanate","表现出"
10191,"emanation","放射能"
10192,"emancipate","解放"
10193,"emancipated","获得解放的"
10194,"emasculate","削弱"
10195,"embalm","对（尸体）进行防腐处理"
10196,"embankment","（公路、铁路等的）路堤"
10197,"embargo","禁运"
10198,"embark","着手"
10199,"embarrass","使尴尬"
10200,"embarrassed","窘迫的"
10201,"embarrassing","令人害羞的"
10202,"embarrassment","尴尬"
10203,"embassy","（统称）使馆官员"
10204,"embattled","处于困境的"
10205,"embed","使插入"
10206,"embellish",""
10207,"embellishment","装饰"
10208,"ember","余火"
10209,"embezzle","贪污"
10210,"embezzlement","贪污罪"
10211,"embittered","愤恨的"
10212,"emblazoned","（绘制的图案、文字等）十分显眼的"
10213,"emblem","（国家或组织的）徽章"
10214,"emblematic","象征（性）的"
10215,"embodiment","（品质、思想等的）典型"
10216,"embody","表现"
10217,"embolden","使有胆量"
10218,"embolism","（血管）栓塞"
10219,"embossed","有凸饰的"
10220,"embrace","抱"
10221,"embroider","在…上刺绣"
10222,"embroidery","绣花"
10223,"embroil","使卷入"
10224,"embroiled","陷入的"
10225,"embryo","胚胎"
10226,"embryology","胚胎学"
10227,"embryonic","早期的"
10228,"emcee","同master of ceremonies"
10229,"emerald","翡翠"
10230,"emerge","出现"
10231,"emergence","出现"
10232,"emergency","紧急事件"
10233,"emergency brake","紧急刹车"
10234,"emergency room","急诊室(缩略形式为ER)"
10235,"emergency services","紧急救援部门"
10236,"emergent","（国家、政治运动、社会团体等）新兴的"
10237,"emeritus","（与专业头衔连用）荣誉退休的"
10238,"emetic","催吐剂"
10239,"emigrant","移居外国者"
10240,"emigrate","移居国外"
10241,"emigre",""
10242,"eminence","显赫"
10243,"eminent","(尤指因专业出众而)著名的"
10244,"eminently","（置于褒义词前表强调）非常"
10245,"emir","埃米尔（伊斯兰教领袖的尊称）"
10246,"emirate","酋长国"
10247,"emissary","特使"
10248,"emission","散发"
10249,"emit","发出"
10250,"emollient","润肤剂"
10251,"emolument","报酬"
10252,"emoticon","情感符号（电子邮件中用来表示情感的符号）"
10253,"emotion","情感"
10254,"emotional","情感上的"
10255,"emotional capital","情绪资本（指公司全部的心理资产和资源"
10256,"emotional intelligence","情商（人际交往和沟通技巧）"
10257,"emotionless","不露情感的"
10258,"emotive","引起强烈情感的"
10259,"empathetic","移情的"
10260,"empathize","有同感"
10261,"empathy","同感"
10262,"emperor","皇帝"
10263,"emphasis","重点"
10264,"emphasize","强调"
10265,"emphatic","强调的"
10266,"emphatically","强调地"
10267,"emphysema","肺气肿"
10268,"empire","帝国"
10269,"empirical","经验主义的"
10270,"empiricism","经验主义"
10271,"emplacement","炮位"
10272,"employ","雇用"
10273,"employable","可雇用的"
10274,"employee","雇员"
10275,"employer","雇主"
10276,"employment","就业"
10277,"employment agency","职业介绍所"
10278,"emporium","大百货商场"
10279,"empower","授权"
10280,"empowerment","授权"
10281,"empress","女皇"
10282,"emptiness","空虚"
10283,"empty","空的"
10284,"empty-handed","两手空空的"
10285,"empty-headed","没头脑的"
10286,"emu","鸸鹋（见于澳大利亚的大型鸟"
10287,"emulate","（因为钦慕而）仿效"
10288,"emulsifier","乳化剂"
10289,"emulsify","（使）乳化"
10290,"emulsion","乳胶漆"
10291,"en-","（构成动词）表示“使处于…状态”"
10292,"enable","使能够"
10293,"enact","将…制定成法律"
10294,"enactment","(法律的)制定"
10295,"enamel","搪瓷"
10296,"enamelled","上珐琅的"
10297,"enamelling","用珐琅装饰"
10298,"enamoured","（对某物）喜爱的"
10299,"en bloc","一起"
10300,"encamped","露营的"
10301,"encampment","(尤指士兵、难民或吉普赛人的)营地"
10302,"encapsulate","概括"
10303,"encase","把…包住"
10304,"-ence","（用于形容词后构成名词"
10305,"enchant","使狂喜"
10306,"enchanting","迷人的"
10307,"enchantment","魅力"
10308,"enchantress","（童话故事和传说中的）女巫"
10309,"enchilada","（通常佐以酱汁食用的）肉馅玉米卷饼"
10310,"encircle","包围"
10311,"enclave","（国家或城市中隶属另一民族或文化的）飞地"
10312,"enclose","包围"
10313,"enclosed","与外界隔绝的"
10314,"enclosure","围场"
10315,"encode","给…加密"
10316,"encompass","包括"
10317,"encore","（应观众要求的）加演节目"
10318,"encounter","遇到"
10319,"encourage","鼓励"
10320,"encouragement","鼓励"
10321,"encouraging","令人鼓舞的"
10322,"encroach","侵占"
10323,"encroachment","侵占"
10324,"encrustation","(长时间形成的)外皮"
10325,"encrusted","有硬壳覆盖的"
10326,"encrypt","把…编码"
10327,"encumber","拖累"
10328,"encumbrance","拖累"
10329,"-ency",""
10330,"encyclical","教皇通谕"
10331,"encyclopedia","百科全书"
10332,"encyclopedic","百科全书般的"
10333,"end","最后部分"
10334,"endanger","使遭遇危险"
10335,"endear","使受喜爱"
10336,"endearing","惹人喜爱的"
10337,"endearment","表示爱慕的话"
10338,"endeavour","努力"
10339,"endemic","（疾病）地方性的"
10340,"endgame","（国际象棋中的）残局"
10341,"ending","（书、故事、戏剧等的）结尾"
10342,"endive","苣荬菜"
10343,"endless","无止境的"
10344,"endocrine","内分泌的"
10345,"endorse","（公开地）赞同"
10346,"endorsement","赞同"
10347,"endow","赋予"
10348,"endowment","资助"
10349,"end product","最终产品"
10350,"end result","最终结果"
10351,"end up","(通常指意外地)最终到达"
10352,"endurance","耐力"
10353,"endure","忍耐"
10354,"end-user",""
10355,"end user","终端用户"
10356,"end zone","（美式橄榄球的）球门区"
10357,"enema","灌肠"
10358,"enemy","敌人"
10359,"energetic","充满活力的"
10360,"energize","使充满活力"
10361,"energy","力气"
10362,"energy-efficient","能效高的"
10363,"energy efficient",""
10364,"enervated","乏力的"
10365,"enervating","令人感到乏力的"
10366,"enfant terrible","聪慧却离经叛道的人"
10367,"enfeebled","变得衰弱的"
10368,"enfold","盖住"
10369,"enforce","强行实施"
10370,"enforceable","可执行的"
10371,"enforcement","执行"
10372,"enfranchise","给予…选举权"
10373,"enfranchisement","选举权的授予"
10374,"engage","参与"
10375,"engaged","从事…的"
10376,"engagement","约会"
10377,"engagement ring","订婚戒指"
10378,"engaging","令人愉快的"
10379,"engender","导致"
10380,"engine","引擎"
10381,"-engined","（构成合成词）表示“有…个引擎的”、“有…型发动机的”"
10382,"engineer","工程师"
10383,"engineering","工程"
10384,"engine room","轮机舱"
10385,"english","英格兰的"
10386,"english breakfast","英式早餐（包括熏肉、鸡蛋、香肠等）"
10387,"englishman","英格兰男人"
10388,"englishwoman","英格兰女人"
10389,"engorged","（通常因充满液体）肿胀的"
10390,"engrave","雕刻"
10391,"engraved","铭记于心的"
10392,"engraver","雕刻师"
10393,"engraving","雕版"
10394,"engrossed","全神贯注的"
10395,"engrossing","十分有趣的"
10396,"engulf","（常指突然）吞没"
10397,"enhance","提高"
10398,"enhancement","提高"
10399,"enhancer","增强器"
10400,"enigma","难解之谜"
10401,"enigmatic","神秘的"
10402,"enjoin","命令"
10403,"enjoy","享受"
10404,"enjoyable","有趣的"
10405,"enjoyment","乐趣"
10406,"enlarge","扩大"
10407,"enlargement","放大"
10408,"enlarger","（照片）放大机"
10409,"enlighten","启发"
10410,"enlightened","开明的"
10411,"enlightenment","启发"
10412,"enlist","（使）参军"
10413,"enlisted","（美国）士兵的"
10414,"enlistment","参军"
10415,"enliven","使有趣"
10416,"en masse","全体"
10417,"enmeshed","被缠住的"
10418,"enmity","敌意"
10419,"ennoble","使崇高"
10420,"ennui","倦怠"
10421,"enormity","庞大"
10422,"enormous","巨大的"
10423,"enough","足够"
10424,"enquire",""
10425,"enquirer",""
10426,"enquiring",""
10427,"enquiry",""
10428,"enrage","激怒"
10429,"enrapture","使着迷"
10430,"enrich","充实"
10431,"enrichment","丰富"
10432,"enrol","招收（成员）"
10433,"enrolment","登记"
10434,"en route",""
10435,"ensconced","舒服地坐于…的"
10436,"ensemble","合唱组"
10437,"enshrine","视…为神圣"
10438,"enshroud","遮蔽"
10439,"ensign","（表示国籍的）舰旗"
10440,"enslave","使成为奴隶"
10441,"enslavement","奴役"
10442,"ensnare","使陷入圈套"
10443,"ensue","接着发生"
10444,"ensuing","接着发生的"
10445,"en suite","（卫生间）与卧室相连的"
10446,"ensure","保证"
10447,"entail","使…必然发生"
10448,"entangle","缠住"
10449,"entangled","被缠住的"
10450,"entanglement","复杂关系（或情况）"
10451,"entente","（国家间的）友好协议"
10452,"enter","进入"
10453,"enter into","加入（讨论）"
10454,"enterprise","（常指小型）企业"
10455,"enterprise zone","（常指贫困地区的）创业园"
10456,"enterprising","有事业心的"
10457,"entertain","使快乐"
10458,"entertainer","（娱乐节目）表演者"
10459,"entertainment","娱乐节目"
10460,"enthral","迷住"
10461,"enthrone","使（国王、女王、皇帝、主教等）登位"
10462,"enthronement","登基典礼"
10463,"enthuse","兴奋地说"
10464,"enthusiasm","热爱"
10465,"enthusiast","热衷者"
10466,"enthusiastic","非常感兴趣的"
10467,"entice","诱使"
10468,"enticement","诱惑物"
10469,"enticing","迷人的"
10470,"entire","全部的"
10471,"entirely","完全地"
10472,"entirety","整个地"
10473,"entitle","给予…权利"
10474,"entitlement","（拥有某物或做某事的）权利"
10475,"entity","独立存在体"
10476,"entomb","使深陷于"
10477,"entomology","昆虫学"
10478,"entourage","随从"
10479,"entrails","内脏"
10480,"entrance","入口"
10481,"entrance fee","门票"
10482,"entrance hall","门厅"
10483,"entrant","新加入者"
10484,"entrap","诱使"
10485,"entrapment","（对犯人的）诱捕"
10486,"entreat","恳求"
10487,"entreaty","恳求"
10488,"entree",""
10489,"entrench","使（权力、习俗、观念等）根深蒂固"
10490,"entrenchment","堑壕"
10491,"entrepreneur","企业家"
10492,"entrepreneurial","具有企业家素质的"
10493,"entrepreneurship","企业家的身份（或活动）"
10494,"entropy","无序状态"
10495,"entrust","委托"
10496,"entry","进入权"
10497,"entry-level","（产品）初级的"
10498,"entryway","入口通道"
10499,"entrée",""
10500,"entwine","（使）缠绕"
10501,"e number","（能改善食物和饮料的味道、颜色或延长其保质期的）添加剂（欧洲以字母E开头的特定编码）"
10502,"enumerate","列举"
10503,"enunciate","（清晰地）念（词）"
10504,"envelop","包住"
10505,"envelope","信封"
10506,"enviable","令人羡慕的"
10507,"envious","嫉妒的"
10508,"environment","生活环境"
10509,"environmental","自然环境?
10510,"environmentalism","环境?
10511,"environmentalist","环境?
10512,"environs","周边地区"
10513,"envisage","设想"
10514,"envision","设想"
10515,"envoy","使节"
10516,"envy","羡慕"
10517,"enzyme","酶"
10518,"eon",""
10519,"ep","（每面可持续播放约8分钟的）慢速唱片"
10520,"epaulette","（某些制服上的）肩饰"
10521,"epee",""
10522,"ephemera","昙花一现的事物"
10523,"ephemeral","短暂的"
10524,"epic","史诗"
10525,"epicentre","震中"
10526,"epicure","（尤指喜欢吃稀奇食物的）美食家"
10527,"epicurean","（食物）美味的"
10528,"epidemic","（疾病的）流行"
10529,"epidermis","表皮"
10530,"epidural","（有时可用于分娩时的）硬膜外麻醉剂"
10531,"epigram","诙谐短诗"
10532,"epilepsy","癫痫"
10533,"epileptic","癫痫的"
10534,"epilogue","（书的）后记"
10535,"epiphany","（基督教1月6日为纪念贤士朝拜基督的）主显节"
10536,"episcopal","（苏格兰和美国的）新教圣公会的"
10537,"episcopalian","新教圣公会的"
10538,"episode","插曲"
10539,"episodic","不定期发生的"
10540,"epistle","书信"
10541,"epistolary","（小说等）书信体的"
10542,"epitaph","纪念死者的文字"
10543,"epithet","表述形容词"
10544,"epitome","典型"
10545,"epitomize","成为…的典范"
10546,"epo","促红细胞生成素（运动员禁用）"
10547,"epoch","时代"
10548,"epoch-making","划时代的"
10549,"eponymous","（书、电影等的男女主角）与作品同名的"
10550,"epoxy","环氧树脂"
10551,"epsom salts","泻盐"
10552,"eq","情商"
10553,"equable","心平气和的"
10554,"equal","同样的"
10555,"equaliser",""
10556,"equality","（地位、权利、责任等的）均等"
10557,"equalize","使均等"
10558,"equalizer","（体育比赛中）追平比分的得分"
10559,"equally","相等地"
10560,"equal opportunities","（职业发展的）均等机会"
10561,"equal opportunities employer","提供均等机会的雇主"
10562,"equal sign","等号"
10563,"equanimity","平静"
10564,"equate","把…相提并论"
10565,"equation","等式"
10566,"equator","赤道"
10567,"equatorial","赤道上的"
10568,"equerry","（英国的）王室侍从官"
10569,"equestrian","骑马的"
10570,"equestrianism","（体育运动）马术"
10571,"equidistant","等距的"
10572,"equilateral","等边的"
10573,"equilibrium","平衡"
10574,"equine","马的"
10575,"equinox","二分时刻"
10576,"equip","装备"
10577,"equipment","设备"
10578,"equitable","公平的"
10579,"equities","（在优先股之后享受红利的）股票"
10580,"equity","资产净值"
10581,"equivalence","（用途、功能、尺寸、价值等）相等"
10582,"equivalent","等同物"
10583,"equivocal","模棱两可的"
10584,"equivocate","含糊其词"
10585,"-er","（加在多数短形容词后构成比较级"
10586,"er","急救室"
10587,"era","时代"
10588,"eradicate","消灭"
10589,"erase","忘却"
10590,"eraser","橡皮擦"
10591,"erasure","删除"
10592,"ere","同be-fore"
10593,"erect","建造"
10594,"erection","（阴茎的）勃起"
10595,"ergative","（动词）通格的（即同一个名词既可作其宾语又可作其主语）"
10596,"ergo","因此"
10597,"ergonomics","工效学"
10598,"ermine","白鼬皮"
10599,"erode","（使）侵蚀"
10600,"erogenous","（身体部位）性敏感的"
10601,"erosion","（气候等的）侵蚀"
10602,"erotic","性爱的"
10603,"erotica","色情作品"
10604,"eroticism","色情"
10605,"err","犯错误"
10606,"errand","（短程的）差事"
10607,"errant","行为不当的"
10608,"erratic","不稳定的"
10609,"erroneous","错误的"
10610,"error","错误"
10611,"ersatz","仿造的"
10612,"erstwhile","以往的"
10613,"erudite","博学的"
10614,"erudition","博学"
10615,"erupt","（火山）喷发"
10616,"escalate","（使）扩大"
10617,"escalator","自动扶梯"
10618,"escalope","无骨薄肉片"
10619,"escapade","大胆冒险之举"
10620,"escape","逃离"
10621,"escape artist","同escapologist"
10622,"escapee","逃脱者"
10623,"escapism","消遣"
10624,"escapist","逃避现实的"
10625,"escapologist","表演脱身术者"
10626,"escarpment","悬崖"
10627,"eschew","躲开"
10628,"escort","护送者"
10629,"escrow","暂交第三者保管的金钱（或资产）"
10630,"eskimo","爱斯基摩人（该词可能具冒犯意味）"
10631,"esl","作为第二语言的英语(教学)"
10632,"esophagus",""
10633,"esoteric","深奥的"
10634,"esp","专业英语教学"
10635,"esp.",""
10636,"especial","特别的"
10637,"especially","特别"
10638,"esperanto","世界语"
10639,"espionage","间谍行为"
10640,"esplanade","（供人散步的）大道"
10641,"espousal","（对政策、事业、信仰等的）支持"
10642,"espouse","支持"
10643,"espresso","浓咖啡"
10644,"esprit de corps","团队精神"
10645,"espy","看到"
10646,"esq.","（用在男子姓名后）…先生"
10647,"esquire","先生（用于男子姓名后表尊敬"
10648,"essay","（学生就某门课程所写的）论说文"
10649,"essayist","论说文作家"
10650,"essence","实质"
10651,"essential","绝对必要的"
10652,"essentially","根本上"
10653,"-est","（加在较短形容词和某些不以-ly结尾的副词后构成最高级）表示“最…”"
10654,"establish","建立"
10655,"established","已被认可的"
10656,"establishment","成立"
10657,"estate","庄园"
10658,"estate agency","房地产公司"
10659,"estate agent","房地产经纪人"
10660,"estate car","旅行车"
10661,"esteem","尊敬"
10662,"esteemed","受尊敬的"
10663,"esthete",""
10664,"esthetic",""
10665,"estimable","值得尊敬的"
10666,"estimate","估算"
10667,"estimation","评价"
10668,"estranged","（与配偶）分居的"
10669,"estrangement","疏远"
10670,"estrogen",""
10671,"estuary","河口"
10672,"e-tailer",""
10673,"etailer","网络零售商"
10674,"etailing","网络零售业务"
10675,"e-tailing",""
10676,"et al.","以及其他人"
10677,"etc","等等"
10678,"et cetera",""
10679,"etcetera",""
10680,"etch","蚀刻"
10681,"etching","蚀刻版画"
10682,"eternal","永久的"
10683,"eternal triangle","三角恋爱"
10684,"eternity","永恒"
10685,"ethanol","同 alcohol"
10686,"ether","醚"
